"id","namn","nyval_tillatet","adresser.adressid","adresser.adressrad","adresser.postnummer","adresser.postort","adresser.koordinater.latitud","adresser.koordinater.longitud","adresser.koordinater.north","adresser.koordinater.east","datum"
10072141,"Jobb Store i Sverige AB",FALSE,331818,Gjuteribacken 23,17265,Sundbyberg,59.360554,17.970293,6583967,668826,"2023-11-29"
10072141,"Jobb Store i Sverige AB",FALSE,336995,Orrvägen 26,19255,Sollentuna,59.425514,17.997816,6591267,670064,"2023-11-29"
10072142,"A-Karriär Sweden AB",FALSE,331821,Telefonvägen 30,12626,Hägersten,59.2981,17.991556,6577072,670347,"2023-11-29"
10072142,"A-Karriär Sweden AB",FALSE,331819,Malmskillnadsgatan 32,11151,Stockholm,59.332188,18.06683,6581060,674456,"2023-11-29"
10072143,"Jobb Store i Sverige AB",FALSE,331822,Stormbyvägen 2,16355,Spånga,59.37944,17.90379,6585902,664956,"2023-11-29"
10072144,"AB AlphaCE Rusta och matcha",FALSE,335988,Åsgatan 41,79171,Falun,60.6085,15.629107,6719346,534443,"2023-11-29"
10072144,"AB AlphaCE Rusta och matcha",FALSE,331832,Skomakargatan 5,78170,Borlänge,60.484005,15.41519,6705388,522819,"2023-11-29"
10072145,"AB AlphaCE Rusta och matcha",FALSE,331837,Valthornsvägen 3b,75650,Uppsala,59.81134,17.628714,6633325,647432,"2023-11-29"
10072145,"AB AlphaCE Rusta och matcha",FALSE,335832,Kungsgatan 62,75341,Uppsala,59.85447,17.65191,6638177,648540,"2023-11-29"
10072146,"Arbetsglobala Konsult AB",FALSE,331839,Isafjordsgatan 20,16440,Kista,59.40439,17.949053,6588792,667403,"2023-11-29"
10072146,"Arbetsglobala Konsult AB",FALSE,331840,Munkforsplan 37,12347,Farsta,59.242947,18.093193,6571199,676417,"2023-11-29"
10072147,"Karriärvägledarna i Sverige AB",FALSE,335450,Drottninggatan 32,60224,Norrköping,58.589893,16.187315,6494998,569021,"2023-11-29"
10072148,"AB AlphaCE Rusta och matcha",FALSE,331842,Långgatan 26,82143,Bollnäs,61.349056,16.396786,6802467,574712,"2023-11-29"
10072149,"AB AlphaCE Rusta och matcha",FALSE,336585,Carlavägen 21,77130,Ludvika,60.14925,15.189866,6668048,510543,"2023-11-29"
10072151,"A-Karriär Sweden AB",FALSE,336458,Tuna Torg 3,18631,Vallentuna,59.534042,18.078115,6603552,674058,"2023-11-29"
10072151,"A-Karriär Sweden AB",FALSE,331845,Solna Torg 19,17145,Solna,59.36069,17.99932,6584057,670475,"2023-11-29"
10072152,"A-Karriär Sweden AB",FALSE,331846,Handenterminalen 5,13640,Handen,59.167473,18.135607,6562913,679230,"2023-11-29"
10072152,"A-Karriär Sweden AB",FALSE,336535,Radiovägen 22,13548,Tyresö,59.240673,18.210197,6571261,683099,"2023-11-29"
10072153,"AB AlphaCE Rusta och matcha",FALSE,331847,Norra Skeppargatan 5,80320,Gävle,60.673565,17.141096,6728334,616975,"2023-11-29"
10072153,"AB AlphaCE Rusta och matcha",FALSE,335627,Västra Vägen 52,80324,Gävle,60.675694,17.110632,6728517,615304,"2023-11-29"
10072154,"A-Karriär Sweden AB",FALSE,331848,Odinsgatan 13,41103,Göteborg,57.70879,11.981139,6400296,320147,"2023-11-29"
10072154,"A-Karriär Sweden AB",FALSE,331849,Distansgatan 2,42174,Västra Frölunda,57.667152,11.936185,6395784,317260,"2023-11-29"
10072154,"A-Karriär Sweden AB",FALSE,331850,Nya Tingstadsgatan 1,42244,Hisings Backa,57.731705,11.981332,6402845,320272,"2023-11-29"
10072156,"Karriärvägledarna i Sverige AB",FALSE,335670,Skäggetorps centrum 1b,58642,Linköping,58.426533,15.580295,6476345,533892,"2023-11-29"
10072157,"Karriärvägledarna i Sverige AB",FALSE,331856,Cylindervägen 12,13152,Nacka Strand,59.31588,18.163685,6579503,680050,"2023-11-29"
10072158,"Karriärvägledarna i Sverige AB",FALSE,331858,Telefonvägen 30,12626,Hägersten,59.2981,17.991556,6577072,670347,"2023-11-29"
10072158,"Karriärvägledarna i Sverige AB",FALSE,331857,Arenavägen 41,12177,Johanneshov,59.294582,18.080252,6576910,675413,"2023-11-29"
10072160,"Arcus Utbildning & Jobbförmedling AB",FALSE,331866,Östra Järnvägsgatan 12B,28341,Osby,56.38117,13.996386,6248956,438025,"2023-11-29"
10072160,"Arcus Utbildning & Jobbförmedling AB",FALSE,331867,Resvägen 2,29534,Bromölla,56.06755,14.479829,6213720,467615,"2023-11-29"
10072160,"Arcus Utbildning & Jobbförmedling AB",FALSE,331864,Östra Storgatan 6,29132,Kristianstad,56.03322,14.153744,6210100,447267,"2023-11-29"
10072160,"Arcus Utbildning & Jobbförmedling AB",FALSE,331865,Vallgatan 13,28132,Hässleholm,56.15684,13.767922,6224219,423472,"2023-11-29"
10072161,"Enrival AB",FALSE,331869,Fabriksgatan 1A,57438,Vetlanda,57.42195,15.085209,6364360,505118,"2023-11-29"
10072162,"Enrival AB",FALSE,331870,Hoppets Torg 4,55321,Jönköping,57.78227,14.16981,6404773,450631,"2023-11-29"
10072162,"Enrival AB",FALSE,331872,Östergatan 9,56730,Vaggeryd,57.49773,14.14839,6373113,448960,"2023-11-29"
10072162,"Enrival AB",FALSE,331871,Storgatan 25C,57131,Nässjö,57.651886,14.697094,6389995,481922,"2023-11-29"
10072163,"Karriärvägledarna i Sverige AB",FALSE,331873,Fredsgatan 17,64130,Katrineholm,58.994747,16.20635,6540093,569316,"2023-11-29"
10072164,"Enrival AB",FALSE,331876,Frejgatan 59,11326,Stockholm,59.34568,18.05094,6582520,673484,"2023-11-29"
10072164,"Enrival AB",FALSE,331877,Arenavägen 41,12177,Johanneshov,59.294518,18.079906,6576902,675394,"2023-11-29"
10072164,"Enrival AB",FALSE,331874,Färögatan 33,16451,Kista,59.401672,17.94677,6588484,667287,"2023-11-29"
10072164,"Enrival AB",FALSE,333040,Vällingby torg 18-24,16265,Vällingby,59.36263,17.87239,6583954,663254,"2023-11-29"
10072164,"Enrival AB",FALSE,331878,Medborgarplatsen 25,11872,Stockholm,59.315865,18.070461,6579253,674747,"2023-11-29"
10072165,"Enrival AB",FALSE,331880,Kvarngatan 21,24431,Kävlinge,55.790695,13.112716,6184397,381667,"2023-11-29"
10072165,"Enrival AB",FALSE,331883,Södergatan 6B,24130,Eslöv,55.838478,13.303121,6189405,393734,"2023-11-29"
10072165,"Enrival AB",FALSE,331882,Getinggränd 2,27539,Sjöbo,55.63422,13.684313,6166156,417173,"2023-11-29"
10072165,"Enrival AB",FALSE,331881,Kiliansgatan 13,22350,Lund,55.702957,13.196932,6174493,386692,"2023-11-29"
10072165,"Enrival AB",FALSE,331879,Kvarngatan 19,24231,Hörby,55.854706,13.656665,6190725,415908,"2023-11-29"
10072166,"Arcus Utbildning & Jobbförmedling AB",FALSE,331885,Lilla Torggatan 9e,27434,Skurup,55.478672,13.500504,6149082,405229,"2023-11-29"
10072167,"Arcus Utbildning & Jobbförmedling AB",FALSE,331889,Tredenborgsvägen 7,29435,Sölvesborg,56.039577,14.578857,6210564,473761,"2023-11-29"
10072167,"Arcus Utbildning & Jobbförmedling AB",FALSE,331888,Karlskronagatan 9,37230,Ronneby,56.21095,15.27555,6229592,517092,"2023-11-29"
10072168,"Enrival AB",FALSE,331899,HAMMARTORGET 16,73430,Hallstahammar,59.613678,16.22831,6609030,569307,"2023-11-29"
10072168,"Enrival AB",FALSE,331898,Bråstagatan 5,73330,Sala,59.918926,16.604647,6643469,589717,"2023-11-29"
10072168,"Enrival AB",FALSE,331896,Östra Långgatan 12,73130,Köping,59.51193,15.99544,6597480,556338,"2023-11-29"
10072168,"Enrival AB",FALSE,331892,Kungsgatan 30,73632,Kungsör,59.42744,16.10476,6588170,562681,"2023-11-29"
10072168,"Enrival AB",FALSE,331893,Stora Gatan 39,72212,Västerås,59.60876,16.542118,6608851,587024,"2023-11-29"
10072168,"Enrival AB",FALSE,331895,Köpmangatan 21,73531,Surahammar,59.70628,16.221874,6619334,568754,"2023-11-29"
10072168,"Enrival AB",FALSE,331894,Glasbruksgatan 1,73231,Arboga,59.396873,15.855864,6584558,548603,"2023-11-29"
10072168,"Enrival AB",FALSE,331897,Fallhammargatan 3A,72133,Västerås,59.60371,16.484512,6608215,583786,"2023-11-29"
10072169,"Enrival AB",FALSE,331903,Södergatan 73,25225,Helsingborg,56.03751,12.70454,6212631,356990,"2023-11-29"
10072169,"Enrival AB",FALSE,331905,Ormastorpsgatan 22,26535,Åstorp,56.13183,12.93501,6222673,371660,"2023-11-29"
10072169,"Enrival AB",FALSE,331907,Ängelholmsvägen 3A,28633,Örkelljunga,56.28401,13.27653,6239025,393307,"2023-11-29"
10072169,"Enrival AB",FALSE,331902,Stockholmsvägen 14D,28431,Perstorp,56.138725,13.396371,6222678,400349,"2023-11-29"
10072169,"Enrival AB",FALSE,331900,Föreningsgatan 217,26151,Landskrona,55.87293,12.84923,6194028,365433,"2023-11-29"
10072169,"Enrival AB",FALSE,331906,Järnvägsgatan 1,26734,Bjuv,56.08309,12.91163,6217293,370043,"2023-11-29"
10072169,"Enrival AB",FALSE,331901,Storgatan 46,26433,Klippan,56.13593,13.12993,6222783,383785,"2023-11-29"
10072169,"Enrival AB",FALSE,331908,Kungstorget 8,25278,Helsingborg,56.04446,12.69399,6213426,356359,"2023-11-29"
10072170,"Arcus Utbildning & Jobbförmedling AB",FALSE,337227,Carl Krooks Gata 10,25225,Helsingborg,56.041363,12.700172,6213069,356732,"2023-11-29"
10072170,"Arcus Utbildning & Jobbförmedling AB",FALSE,331923,Bruksgatan 8A,26235,Ängelholm,56.248524,12.866866,6235786,367828,"2023-11-29"
10072170,"Arcus Utbildning & Jobbförmedling AB",FALSE,331912,Bangatan 6,26538,Åstorp,56.12939,12.934601,6222402,371627,"2023-11-29"
10072171,"Enrival AB",FALSE,332961,Stationsgatan 7,82443,Hudiksvall,61.72463,17.108135,6845309,611400,"2023-11-29"
10072172,"Enrival AB",FALSE,331916,Söderväg 3A,62158,Visby,57.632595,18.290113,6392572,696418,"2023-11-29"
10072173,"Enrival AB",FALSE,331921,Järnvågsgatan 3,41327,Göteborg,57.70044,11.9511175,6399447,318317,"2023-11-29"
10072173,"Enrival AB",FALSE,331922,Maskingatan 5,41764,Göteborg,57.701477,11.913768,6399664,316098,"2023-11-29"
10072176,"Arcus Utbildning & Jobbförmedling AB",FALSE,331938,Västergatan 10,24131,Eslöv,55.840027,13.301783,6189580,393655,"2023-11-29"
10072176,"Arcus Utbildning & Jobbförmedling AB",FALSE,331937,Norregatan 17,27530,Sjöbo,55.63394,13.706222,6166098,418551,"2023-11-29"
10072176,"Arcus Utbildning & Jobbförmedling AB",FALSE,331928,Scheelevägen 5,22349,Lund,55.710777,13.217622,6175330,388015,"2023-11-29"
10072176,"Arcus Utbildning & Jobbförmedling AB",FALSE,331940,Nygatan 8C,24430,Kävlinge,55.78986,13.107612,6184313,381344,"2023-11-29"
10072176,"Arcus Utbildning & Jobbförmedling AB",FALSE,331935,Torget 2,24532,Staffanstorp,55.64386,13.20952,6167897,387314,"2023-11-29"
10072176,"Arcus Utbildning & Jobbförmedling AB",FALSE,331939,Storgatan 7A,24330,Höör,55.931587,13.546065,6199420,409165,"2023-11-29"
10072177,"Enrival AB",FALSE,331932,Biblioteksgatan 4,37435,Karlshamn,56.16442,14.86604,6224387,491681,"2023-11-29"
10072177,"Enrival AB",FALSE,331930,Östra Vittusgatan 36,37133,Karlskrona,56.1655,15.58515,6224654,536338,"2023-11-29"
10072177,"Enrival AB",FALSE,331931,Köpmansgatan 4,29433,Sölvesborg,56.052914,14.583314,6212047,474048,"2023-11-29"
10072177,"Enrival AB",FALSE,331933,Strandgatan 8,37230,Ronneby,56.20985,15.27707,6229470,517186,"2023-11-29"
10072177,"Enrival AB",FALSE,331929,Östra Storgatan 34,29334,Olofström,56.27749,14.52962,6237064,470874,"2023-11-29"
10072178,"Enrival AB",FALSE,331943,Drottninggatan 18,80320,Gävle,60.67435,17.143246,6728426,617090,"2023-11-29"
10072178,"Enrival AB",FALSE,331941,Södra Åsgatan 30C,81630,Ockelbo,60.890736,16.71685,6751837,593169,"2023-11-29"
10072178,"Enrival AB",FALSE,333035,Torggatan 7B,81139,Sandviken,60.62114,16.773153,6721898,597035,"2023-11-29"
10072179,"A-Karriär Sweden AB",FALSE,331944,Blekingegatan 1,37134,Karlskrona,56.166077,15.584295,6224717,536285,"2023-11-29"
10072179,"A-Karriär Sweden AB",FALSE,331945,Strandgatan 8,37230,Ronneby,56.20985,15.277066,6229470,517186,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331957,Algatan 47,23142,Trelleborg,55.37426,13.152976,6137993,382958,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331952,Hyllie Vattenparksgata 48,21844,Malmö,55.560287,12.982097,6158991,372732,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331948,Bokgatan 24,21434,Malmö,55.587708,13.017736,6161977,375067,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331954,Kronborgsvägen 10A,21742,Malmö,55.594376,12.9893,6162771,373296,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331946,Östra Tullgatan 3,21128,Malmö,55.608097,13.012081,6164256,374775,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331955,Lundavägen 33,23234,Arlöv,55.632908,13.072153,6166910,378636,"2023-11-29"
10072180,"Arcus Utbildning & Jobbförmedling AB",FALSE,331967,Storgatan 17,23331,Svedala,55.50877,13.23672,6152822,388644,"2023-11-29"
10072181,"Enrival AB",FALSE,331949,Kyrkgatan 41,96135,Boden,65.82452,21.688704,7316628,805200,"2023-11-29"
10072181,"Enrival AB",FALSE,331951,Stationsgatan 62C,97234,Luleå,65.58332,22.15866,7292251,829633,"2023-11-29"
10072183,"Enrival AB",FALSE,331959,Stora TORGET 3,75320,Uppsala,59.858204,17.639177,6638565,647811,"2023-11-29"
10072183,"Enrival AB",FALSE,331963,Vänersborgsvägen 5,74634,Bålsta,59.579605,17.507998,6607268,641639,"2023-11-29"
10072183,"Enrival AB",FALSE,331961,Centralgatan 14,81538,Tierp,60.343975,17.514446,6692367,638769,"2023-11-29"
10072183,"Enrival AB",FALSE,331962,Ljusbärargatan 2,75423,Uppsala,59.86597,17.637295,6639425,647671,"2023-11-29"
10072183,"Enrival AB",FALSE,331960,Kaptensgatan 6,74935,Enköping,59.631664,17.083664,6612235,617499,"2023-11-29"
10072184,"Arbetscenter Stockholm AB",FALSE,331964,Edvard Griegsgången 16,16432,Kista,59.40916,17.926777,6589267,666116,"2023-11-29"
10072184,"Arbetscenter Stockholm AB",FALSE,335644,Byängsgränd 14,12040,Årsta,59.28817,18.053507,6576127,673924,"2023-11-29"
10072185,"Enrival AB",FALSE,336104,Lillsjögatan 20,34236,Alvesta,56.896526,14.552441,6305957,472736,"2023-11-29"
10072185,"Enrival AB",FALSE,332583,Storgatan 17,35230,Växjö,56.8787,14.804702,6303900,488097,"2023-11-29"
10072185,"Enrival AB",FALSE,331965,Lidholmsvägen 1,36050,Lessebo,56.75278,15.26098,6289897,515959,"2023-11-29"
10072187,"Enrival AB",FALSE,331970,Norra Stationsgatan 2B,28148,Hässleholm,56.1584,13.76102,6224400,423046,"2023-11-29"
10072187,"Enrival AB",FALSE,331972,Östra Boulevarden 28,29131,Kristianstad,56.03151,14.15703,6209907,447469,"2023-11-29"
10072187,"Enrival AB",FALSE,331971,Stig Sunnes väg 2,29531,Bromölla,56.07315,14.46486,6214350,466688,"2023-11-29"
10072187,"Enrival AB",FALSE,336302,Stridsvagnsvägen 14,29139,Kristianstad,56.045555,14.147118,6211478,446871,"2023-11-29"
10072187,"Enrival AB",FALSE,331973,Södra Portgatan 28,28350,Osby,56.381985,13.983765,6249058,437247,"2023-11-29"
10072187,"Enrival AB",FALSE,331969,Brogatan 35,28933,Knislinge,56.19165,14.08722,6227785,443355,"2023-11-29"
10072188,"Enrival AB",FALSE,331975,Storgatan 77,95331,Haparanda,65.83667,24.138163,7332075,916221,"2023-11-29"
